text
먼저 떠난 우리 아들도 저렇게 멋진데서 잘 지내길..평생 기억할께 꼭 다시 만나자
'신과 함께'와는 격이 다른 저승영화
"박평식 : ""따뜻해, 삶을 껴안고 다독이는 죽음"" 박평식 평론가의 평점이 이렇게 공감된다니... 2018 최고의 애니메이션? 아니 이건 최고의 영화"
관람객사람이 진정으로 죽는 순간은 사랑하는 사람에게 잊혀졌을때..사랑하는 사람들을 영원히 기억하고 나 또한 그 사람들에게 영원히 기억되길..Remember me..
"사람은 3번 죽는다.숨이 멎는 순간 생물학 적으로 죽고, 장례식에 온 하객들이 떠나갈  때 사회적으로 죽고 그 사람을 기억하는 마지막 사람이 죽으면 그것이 진정한 죽음이라는것을 코코를 보고 알게되었다."
내일 죽는다면 오늘 봐야할 영화
마지막에 코코 할머니 손잡고 울면서 기억해줘 노래부를때 정말 심각하게 슬펐네요...ㅠㅠ
픽사는 우리를 배신하지 않아...
remember me... 내가 나중에 죽는다면 사후세계에 갔을때 울엄마아빠가 나 마중나와 있어주면 좋겠다.... 엄마아빠 사랑해
픽사 역대급 애니다... 평식이도 8점줬다? 긴말 필요없다 이건 영화관 꼭 가서 보즈아!!!
관람객기억해줘 노래 나와서 울고있는데 아들이 옆에서 팝콘 어딨어! 해서 산통깨짐 너랑 다시는 영화보러가나봐라
기타빌려준 치치 아저씨 기억할게
제목이 왜 코코인지 알게 된 순간 눈물이
관람객약30분간 겨울왕국이 나와 지루했어요~~하지만 코코는 정말 최고의 영화였습니다~^^
진짜 픽사영화를 보면 인생이 뭔지 다시 생각하게 된다
아이 재미를 위해 갔다가 어른이 감동받는 영화
정말 디즈니의 저의 꿈과 희망입니다 ㅠㅠㅠㅠ여러번 코코 꼭 봐주세요 진쩌 감동 그 자체예요ㅠㅠ멕시코 문화 진짜 신선하고 노래 렛잇고 뒤 잇는 명곡입니다!모두 코코 보고 행복하세요
제일 아름답고 제일 반짝거리는 사후세계 이야기. 역시 나의 꿈과 희망 사랑 상상의 세계 모두 안겨주는 디즈니와 픽사답다
관람객근래 본 영화 중에 스토리가 가장 훌륭한 것 같아용
이렇게 따뜻한 사후세계라면 죽음도 두렵지 않다
중환자실에 계시는 외할머니 생각에 영화보는 내내.. 나와서도 창피할정도로 펑펑 울었습니다. 모르겠어요 그냥 흐르는 대로.. 사후에 저렇게 다같이 만날수있었으면 좋겠습니다. 평소에 못해드린거 죽어서라도 다 해드리거싶어...
관람객역시 믿고 볼 애니메이션. . .  노래가 아직도 맴돈다.. .ㅠㅠ 스토리도 잘 짜여있었고 연출도 고민 많이한게 보여서 아주 만족했습니다. .ㅠ
박평식이 8점주면 말 다한거 아닙니까?
사람이 언제 죽는다고 생각하나? 사람들에게서 잊혀졌을때다...! 명불허전 디즈니! 진짜 최고의 애니메이션!! 꼭보세요 여러분 리멤버 미!
관람객오라 따뜻한 죽음이여!
관람객갓픽사 사후세계를 뒤집어놓으셨다
관람객죽음과 기억에 대해.. 끝부분 가서 눈물 뚝뚝 흘렸다 ㅠ
관람객아이는 8살이라 좀 지루해했고요..무슨말인지 잘 이해가 안간다고ㅠㅠ그리고 첨에 울라푸겨울왕국이 20분정도 나와서 재미없다고ㅠㅠ 근데 저는 너무 감동받고 울었어요...돌아가신 아빠 생각나네요...♥ 윤종신씨가 부른 기...
군 복귀 앞두고 씁니다 군복입고 혼자 가서 봤는데요 여성 그룹으로 오신 분들 되게 많았는데 그 여성분들보다 먼저 울었습니다.
할아버지 할머니 잊지 않았으니 그곳 에서 편히 쉬세요.
겨울왕국 하길래 영화관 잘못들어온줄..
